﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4HeBnOIcdTi5ZCdmpwJUuR","Faith - Radio Version","Jordan Feliz","Faith (Radio Version)","1","1","226886","spotify:user:","2019-12-13T06:01:00Z"
"spotify:track:05SNXW0e9dbTt2SNvUcQlW","Greater Than All My Regrets","Tenth Avenue North","Greater Than All My Regrets","1","1","257567","spotify:user:","2019-12-13T06:01:00Z"
"spotify:track:6qNSq6OKjNgXAn3Kj9HBKf","Burn The Ships","for KING & COUNTRY","Burn The Ships","1","5","276400","spotify:user:","2019-12-13T06:01:00Z"
"spotify:track:5UyJAdh9xzIFHQsgOBAOMV","Like You Love Me","Tauren Wells","Like You Love Me - EP","1","1","210697","spotify:user:","2019-12-13T06:01:00Z"
"spotify:track:58O7GjaHjrLD08A9B0UrGe","Rescue Story","Zach Williams","Rescue Story","1","1","236428","spotify:user:","2019-12-13T06:01:00Z"
"spotify:track:7r9kOxiNDnkAg5QKqtyjVk","Rescue","Lauren Daigle","Look Up Child","1","2","215613","spotify:user:","2019-12-13T06:01:00Z"
"spotify:track:1zmhu3TKjiaeWPoUtJFx2H","Dead Man Walking","Jeremy Camp","Dead Man Walking","1","1","187266","spotify:user:","2019-12-13T06:01:00Z"
"spotify:track:5StojELSdCvj23qhF9OxDW","Fighting For Me","Riley Clemmons","Fighting For Me","1","1","229066","spotify:user:","2019-12-13T06:01:00Z"
"spotify:track:5oEQFH35W5hoNwbYCf5anq","Up Again","Dan Bremnes","Wherever I Go","1","3","161506","spotify:user:","2019-12-13T06:01:00Z"
"spotify:track:5CjYgLyRgiIGiS9fQAyWaH","Almost Home","MercyMe","Almost Home","1","1","252257","spotify:user:","2019-12-13T06:01:00Z"
"spotify:episode:3Gi8N81Z9aZ9DkoLMR1crA","We The Kingdom - Holy Water","We The Kingdom - Holy Water","We The Kingdom - Holy Water","0","0","241250","spotify:user:","2019-12-13T06:01:00Z"
"spotify:track:3Ip6WxMxDVMBQoAI7EsPNl","Enough","Koryn Hawthorne","Overcomer (Music from and Inspired by the Original Motion Picture)","1","1","191190","spotify:user:","2019-12-13T06:01:00Z"
"spotify:track:0W7KIc2GSB9suYQAaMZ9rF","Nobody (feat. Matthew West)","Casting Crowns, Matthew West","Only Jesus","1","2","206400","spotify:user:","2019-12-13T06:01:00Z"
"spotify:track:6d7FHsBMvtiRM3AtOjlcsI","Wanted","Danny Gokey","Wanted","1","1","235760","spotify:user:","2019-12-13T06:01:00Z"
"spotify:track:6kmhapLx51lmwhIIDFsUQU","King Of Kings","Hillsong Worship","King Of Kings","1","1","265080","spotify:user:","2019-12-13T06:01:00Z"
"spotify:track:161pnfRpiTTMZC1NWmjwh4","YOUR NAME IS POWER","Rend Collective","YOUR NAME IS POWER","1","1","236093","spotify:user:","2019-12-13T06:01:00Z"
"spotify:track:3oSuWKvHUkNb3AUm6kd2y1","One Day","Cochren & Co.","One Day / Heart and Soul","1","1","207784","spotify:user:","2019-12-13T06:01:00Z"
