﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6UFivO2zqqPFPoQYsEMuCc","Bags","Clairo","Immunity","1","5","260519","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:3RIgHHpnFKj5Rni1shokDj","Norman fucking Rockwell","Lana Del Rey","Norman Fucking Rockwell!","1","1","248934","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:13JjdKeIUy6P916p3MemXn","Do You Love Her Now","Jai Paul","Do You Love Her Now / He","1","1","274995","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:3VwZqgfrM3xb1usuLprkTu","Cellophane","FKA twigs","Cellophane","1","1","204248","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:3NEeKJm8LcdaDG98oZwSZx","All My Happiness is Gone","Purple Mountains","Purple Mountains","1","2","260279","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:4zMmqb0pYwX6b0qc0slCoT","Only Child","Tierra Whack","Only Child","1","1","239324","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:0d6bZwEAi1XblGRhnzPfgC","Hey, Ma","Bon Iver","i,i","1","5","216706","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:7IzJ7EGpIpq2vW3ylVTtMh","Not","Big Thief","Two Hands","1","7","367093","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:5r7OKhOQl2vM8SZnCXSQk1","Free The Frail","JPEGMAFIA, Helena Deland","All My Heroes Are Cornballs","1","13","210569","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:5hVghJ4KaYES3BFUATCYn0","EARFQUAKE","Tyler, The Creator","IGOR","1","2","190066","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:53KFMdxzi8IJDewiql1Qo3","Sunflower (feat. Steve Lacy)","Vampire Weekend, Steve Lacy","Father of the Bride","1","12","137600","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:4SsWVvNKAHJP1T2bP6d2ut","New Love Cassette","Angel Olsen","All Mirrors","1","4","206413","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:4S4Mfvv03M1cHgIOJcbUCL","In My Room","Frank Ocean","In My Room","1","1","133680","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:711gGx1GpUv9YW9KTSfJfH","Home","Caribou","Home","1","1","156293","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:5YIVVzQcJG7pFhyNo0Ytlh","Door","Caroline Polachek","Pang","1","13","322562","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:3onYsieuDICdVt5ULZSExF","Barefoot In The Park (feat. ROSALÍA)","James Blake, ROSALÍA","Assume Form","1","5","211200","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:476QHG5G8xxNI9VHTBFfjp","Ghostride","Crumb","Jinx","1","3","126120","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:1Z7AGDlHCGjOOOF6sc4OMr","The Barrel","Aldous Harding","Designer","1","5","299440","spotify:user:","2019-12-09T23:16:54Z"
"spotify:track:3O8X1DE9btbzy4UH9cSX9a","Borderline","Tame Impala","Borderline","1","1","274293","spotify:user:","2019-12-09T23:16:54Z"
