﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7k4t7uLgtOxPwTpFmtJNTY","Tusa","KAROL G, Nicki Minaj","Tusa","1","1","200960","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5DxXgozhkPLgrbKFY91w0c","Vete","Bad Bunny","Vete","1","1","192024","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6cy3ki60hLwimwIje7tALf","RITMO (Bad Boys For Life)","The Black Eyed Peas, J Balvin","RITMO (Bad Boys For Life)","1","1","221714","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2sRhe52xJklfzRIe0K6puw","Voy Por Ti","Cali Y El Dandee, Piso 21","Voy Por Ti","1","1","212133","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:7JabxjX6a5GvDDw6zRFscj","Whine Up","Nicky Jam, Anuel AA","Whine Up","1","1","215459","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3jbT1Y5MoPwEIpZndDDwVq","Adicto (with Anuel AA & Ozuna)","Tainy, Anuel AA, Ozuna","Adicto (with Anuel AA & Ozuna)","1","1","270740","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6RyaV7owmVU6fzEPE17sF1","Que Tire Pa Lante","Daddy Yankee","Que Tire Pa Lante","1","1","210520","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:37zdqI4r1gswIzczSBkRon","Aventura","Lunay, Ozuna, Anuel AA","Épico","1","2","217129","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6mAN61JH0dzyZpWslS11jy","Fantasias","Rauw Alejandro, Farruko","Fantasias","1","1","199711","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1nocRtwyNPVtGcIJqfgdzZ","Tutu","Camilo, Pedro Capó","Tutu","1","1","178613","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2rc7BkzO8qepMFAxHtOrXc","Blanco","J Balvin","Blanco","1","1","145800","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:7rFxvKtiIeCfjmn1uKxmI9","Fantasía","Ozuna","Fantasía","1","1","175186","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:59s0s39NFWScuHDbHytI14","Indeciso","Reik, J Balvin, Lalo Ebratt","Indeciso","1","1","217253","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:7BlBVFwvbWvcwNcUarQmjk","Yo x Ti, Tu x Mi","ROSALÍA, Ozuna","Yo x Ti, Tu x Mi","1","1","201040","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0fea68AdmYNygeTGI4RC18","LA CANCIÓN","J Balvin, Bad Bunny","OASIS","1","5","242573","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:02lGHA7bFFplYLihnUWTx8","Tequila","Juanes, Christian Nodal","Más Futuro Que Pasado","1","2","159546","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2ksOAxtIxY8yElEWw8RhgK","China","Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna","China","1","1","301714","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5099x34vBakWpGkHourFxP","Qué Pena","Maluma, J Balvin","Qué Pena","1","1","212711","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6Y4PDQv4XjYjHLeLmvyOt0","Si Te Vas","Sech, Ozuna","Si Te Vas","1","1","204906","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:471HeGJPKw07MObixON0Um","Tabú","Pablo Alborán, Ava Max","Tabú","1","1","179774","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1Xnn1TPyr5h0hpRAT4B4EA","Bellaquita - Remix","Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles","Bellaquita (Remix)","1","1","304733","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4AjWbAwRpxk2worpjNH5CS","Quizás","Rich Music LTD, Dalex, Sech, Justin Quiles, Wisin, Zion, Dimelo Flow, Lenny Tavárez, Feid","Quizás","1","1","216066","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5e50NiIlOc2YJIftHzoehd","MALA SANTA","Becky G","MALA SANTA","1","1","173826","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3KekO5WUfJsh7kYU9o2w50","Atrévete","Nicky Jam, Sech","Atrévete","1","1","198320","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4zAmejUNIsPCWsj5t1lGo4","Loco","Beéle","Loco","1","1","207856","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:27qRmG3zOWPvMYUkpPdQ1g","Gan-Ga - Remix","Bryant Myers, Anuel AA","Gan-Ga (Remix)","1","1","193363","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6ofuqm2qLMi9lBFEF9mJMb","Hasta Que Salga el Sol","Ozuna","Hasta Que Salga el Sol","1","1","188600","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6Y6YC93R1r0CISm5iC4j27","BOTA FUEGO","Mau y Ricky, Nicky Jam","BOTA FUEGO","1","1","223186","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:5stPVcRqb4qixbafP9e8lt","Hola - Remix","Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dimelo Flow","Hola (Remix)","1","1","249520","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:65HT0L2eAtvbH56XrJqPbf","Pegao","CNCO, Manuel Turizo","Que Quiénes Somos","1","2","204000","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4fj7e6Tc48Bmomwyz2Z2XC","Te Quemaste","Manuel Turizo, Anuel AA","ADN","1","15","199090","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0PabDDMMzwmn9cfJsfes7W","Chica Bombastic","Wisin & Yandel","Chica Bombastic","1","1","193146","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2zkVH2daHyjS51g7PRJFDn","¿Qué Ha Pasao'?","Abraham Mateo, Sofia Reyes","¿Qué Ha Pasao'?","1","1","198053","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:0wMs7DPFOnToNAoecvAFQc","Uniforme","Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, De La Ghetto, Zion & Lennox","The Academy","1","5","279280","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6z8sQFj47s9ZG0Ls1k9Gct","Dime tú","Danny Ocean","Dime tú","1","1","210302","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1ScD7XQYCKmJ3fdNh71lUE","Bailemos","Manuel Turizo, Sech","ADN","1","7","206294","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1RKZvaLj3UPhGjZkaIrFm7","Que Calor (feat. J Balvin & El Alfa)","Major Lazer, J Balvin, El Alfa, Diplo","Que Calor (feat. J Balvin & El Alfa)","1","1","169997","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:09nSCeCs6eYfAIJVfye1CE","Oye","TINI, Sebastian Yatra","Oye","1","1","173021","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2B94bbI1a4LyBpK1439oP7","Cuerpo en Venta","Noriel, Myke Towers, Rauw Alejandro, Almighty","Cuerpo en Venta","1","1","254413","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:3bCuNSiaBHqxdevMYEnGpe","Tanto","Jesse & Joy, Luis Fonsi","Tanto","1","1","220701","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1cVlW9WQiGlFdWUXFdFZGh","Pa' Olvidarme De Ella","Piso 21, Christian Nodal","Pa' Olvidarme De Ella","1","1","227233","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2EEmzqzM70CybVspgM7YRT","La Boca - Remix","Mau y Ricky, Camilo, Lunay","La Boca (Remix)","1","1","188467","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:7MkFd0UDHlILDrhBjGZH5K","Cántalo","Ricky Martin, Residente, Bad Bunny","Cántalo","1","1","218996","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1KdwnsWOvhM53vezy5ROuf","No Te Debí Besar","C. Tangana, Paloma Mami, Alizzz","No Te Debí Besar","1","1","182815","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:4BCPItsB94KDLuERZT3aNM","Fresa","TINI, Lalo Ebratt","Fresa","1","1","165646","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1CaBwYdWhxUeE4j3w0WqbL","Primer Avión","Matisse, Camilo","Primer Avión","1","1","183362","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:2dy3TKVDEbIeWxeIb8JWqZ","La Mejor Versión de Mi - Remix","Natti Natasha, Romeo Santos","La Mejor Versión de Mi (Remix)","1","1","229333","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1f38Gx6xQz6r4H1jGVNBJo","Loco Contigo (with J. Balvin & Tyga)","DJ Snake, J Balvin, Tyga","Loco Contigo (with J. Balvin & Tyga)","1","1","185194","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:1ndyl3wJCFs872XZ3ztPk6","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles, Natti Natasha, Farruko, Dalex, Lenny Tavárez, Zion","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) [Remix]","1","1","258600","spotify:user:","2019-12-13T05:01:00Z"
"spotify:track:6leWDI4bYOmUJgQBU9pzpt","Una Noche Más","Mariah","Una Noche Más","1","1","160933","spotify:user:","2019-12-13T05:01:00Z"
