﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6GBMbvX7sqyOxT5wWK4hgN","Dangerously","Charlie Puth","Nine Track Mind","1","2","199133","spotify:user:12166530781","2018-07-25T14:49:12Z"
"spotify:track:37FXw5QGFN7uwwsLy8uAc0","We Don't Talk Anymore","Charlie Puth, Selena Gomez","Nine Track Mind","1","5","217706","spotify:user:12166530781","2018-07-25T14:49:21Z"
"spotify:track:1lsBTdE6MGsKeZCD6llNu7","Done for Me (feat. Kehlani)","Charlie Puth, Kehlani","Voicenotes","1","5","180493","spotify:user:12166530781","2018-07-25T14:50:23Z"
"spotify:track:58q2HKrzhC3ozto2nDdN4z","I Like It","Cardi B, Bad Bunny, J Balvin","Invasion of Privacy","1","7","253390","spotify:user:12166530781","2018-07-25T14:51:13Z"
"spotify:track:5SxkdsY1ufZzoq9iXceLw9","no tears left to cry","Ariana Grande","no tears left to cry","1","1","205946","spotify:user:12166530781","2018-07-25T14:51:36Z"
"spotify:track:4hQ6UGyWQIGJmHSo0J88JW","Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez","Back To You (From 13 Reasons Why – Season 2 Soundtrack)","1","1","207904","spotify:user:12166530781","2018-07-25T14:51:43Z"
"spotify:track:7aw8KwSxneW6JQxCrOCag8","Sorry Not Sorry - Acoustic","Demi Lovato","Tell Me You Love Me (Deluxe)","1","14","205546","spotify:user:12166530781","2018-07-25T14:58:30Z"
"spotify:track:5QhBKPqsnX1uY9fZNaAtZg","Stronger","Britney Spears","Oops!... I Did It Again","1","2","203000","spotify:user:12166530781","2018-07-25T14:58:48Z"
"spotify:track:6Uy6K3KdmUdAfelUp0SeXn","Brave","Sara Bareilles","The Blessed Unrest","1","1","220573","spotify:user:12166530781","2018-07-25T14:58:57Z"
"spotify:track:37f4ITSlgPX81ad2EvmVQr","Fight Song","Rachel Platten","Wildfire","1","5","204013","spotify:user:12166530781","2018-07-25T14:59:09Z"
"spotify:track:7fCNUWi6uflDTQ08srxMZk","No Excuses","Meghan Trainor","No Excuses","1","1","152862","spotify:user:12166530781","2018-07-25T15:01:36Z"
"spotify:track:2CZi8d774dBB0wiuWMIpr8","Miss Independent","Kelly Clarkson","Thankful","1","2","214786","spotify:user:12166530781","2018-07-25T15:01:54Z"
"spotify:track:1ehPJRt49h6N0LoryqKZXq","How Far I'll Go - Alessia Cara Version","Alessia Cara","Moana (Original Motion Picture Soundtrack/Deluxe Edition)","1","13","175506","spotify:user:12166530781","2018-07-25T15:02:23Z"
"spotify:track:7F9vK8hNFMml4GtHsaXui6","Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson, Bebe Rexha, Digital Farm Animals","Back to You (feat. Bebe Rexha & Digital Farm Animals)","1","1","190427","spotify:user:12166530781","2018-07-25T15:08:56Z"
"spotify:track:2hdy9Wt9qp7M7d0U3ossu2","If U Seek Amy","Britney Spears","Circus (Deluxe Version)","1","6","216520","spotify:user:12166530781","2018-07-25T15:09:27Z"
"spotify:track:5knuzwU65gJK7IF5yJsuaW","Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit, Sean Paul, Anne-Marie","Rockabye (feat. Sean Paul & Anne-Marie)","1","1","251088","spotify:user:12166530781","2018-07-25T15:09:41Z"
"spotify:track:0daqrrLjI0BBLBRuEGtauc","Cry Baby","Demi Lovato","Tell Me You Love Me","1","9","222746","spotify:user:12166530781","2018-07-25T15:09:46Z"
"spotify:track:12lZTPlXwUtrQuhEty6098","Raise Your Glass","P!nk","Raise Your Glass","1","1","203333","spotify:user:12166530781","2018-07-25T15:15:04Z"
"spotify:track:1g1TeDflB6atAy7HKwrzXu","Learn To Let Go","Kesha","Rainbow","1","6","217546","spotify:user:12166530781","2018-07-25T15:15:11Z"
"spotify:track:3KwwE4sgCzMaKWq6QBebmX","Me Too","Meghan Trainor","Thank You (Deluxe Version)","1","2","181240","spotify:user:12166530781","2018-07-25T15:15:18Z"
"spotify:track:4fcldiaLuLtByymqHk8XDX","Vibe.","JoJo","Mad Love. (Deluxe)","1","6","187440","spotify:user:12166530781","2018-07-25T15:19:39Z"
"spotify:track:5SwEgzUFDHwpWHKrbnP32Z","Youth feat. Khalid","Shawn Mendes, Khalid","Shawn Mendes","1","11","190866","spotify:user:12166530781","2018-07-25T15:37:56Z"
"spotify:track:1rqqCSm0Qe4I9rUvWncaom","High Hopes","Panic! At The Disco","Pray for the Wicked","1","4","190946","spotify:user:12166530781","2018-07-25T20:06:21Z"
