﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3xZMPZQYETEn4hjor3TR1A","Angel","Sarah McLachlan","Surfacing","1","7","270400","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:6XhLvHFFGw89NbGfpINRyn","Reading Rainbow Theme Song","Reading Rainbow","Reading Raibows Greatest Hits","1","1","53760","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:0Jg602cHeMCnPez9baacIe","Cotton Eye Joe","Rednex","Sex & Violins","1","1","193826","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:623lYBOJ7bLwh1bu3yeN5V","God Bless The U.S.A.","Lee Greenwood","American Patriot","1","3","191600","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:7rv2yO4NDw1xaucLooqdqm","Peanut Butter Jelly Time - Radio","Chip-man & The Buckwheat Boyz","Peanut Butter Jelly Time","1","1","216400","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:35zjgo7EZJ84SgBSKD7TQT","Yo Ho (A Pirate's Life for Me)","Disney Studio Chorus","Disney's Ultimate Swashbuckler Collection","1","10","201640","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:00pFKTsXTYfLwGlNnUYETw","Jesus, Take the Wheel","Carrie Underwood","Greatest Hits: Decade #1","1","4","226040","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:7sL70FbV9j9BdHeDbmZx9n","Law and Order: Theme From Law and Order","TV Theme Song Library","TV Theme Library: Classic TV - A to Z","1","37","166951","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:2stkLJ0JNcXkIRDNF3ld6c","You've Got a Friend in Me - From "Toy Story"/Soundtrack Version","Randy Newman","Toy Story","1","1","124160","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:5vLh40xCE0Hl0LJk5Sad1A","Pretty Fly for a Rabbi (Parody of "Pretty Fly (For a White Guy)" by Offspring)",""Weird Al" Yankovic","Running With Scissors","1","3","182746","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:5uOGN9xRLyHigY5XfiY7ij","She'll Be Coming Round the Mountain","Kids Hits Project","Nursery Rhymes 2016","1","8","40053","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:2df5QsXucx4VLiHNGusXD5","Macarena - Bayside Boys Remix","Los Del Rio","Alegria Y Cosabuena","1","1","253106","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:2P950p6RQQxCROYYZGjcBr","The Christmas Shoes","Newsong","Simply Newsong","1","8","291200","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:7tpFQqIXoYEzt4MFVZBCUg","Thrift Shop","Kidz Bop Kids","Kidz Bop 24","1","1","233360","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:3A1lpeW9lJYP1tDOATEcCg","Taps","US Military Bands, US Marine Band","Patriotic Music for All Occassions","1","11","54480","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:5Plb8xps8VZRF2sXlrPi3Q","That's So Raven (Theme Song)","Raven-Symoné","That's So Raven","1","14","50933","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:7wjknEUpvVCgq810FbxFjW","Get Connected (Education Connection Commercial Jingle)","Falcone","Get Connected (Education Connection Commercial Jingle)","1","1","58540","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:6Qm9MaditCcx5V62rVHYqu","A Thousand Miles","Vanessa Carlton","Best Of","1","1","237440","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:4YpHCvwccTpV2M94Fx2zc2","O Canada (feat. Canada 150 Choir and Orchestra)","Dave Pierce, Canada 150 Choir and Orchestra","O Canada (feat. Canada 150 Choir and Orchestra)","1","1","84967","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:6PKx2N9KbWMioQlZBhTCPR","Hello Muddah Hello Faddah (A Letter from Camp Granada) [Live Version]","Allan Sherman","My Son the Nut (Six Songs from My Son the Nut Live, the Best of Allen Sherman Live)","1","4","162075","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:0dNiIiUZTj7P5fnzXPkQtk","Oh Yeah","Yello","Stella (Remastered 2005)","1","3","185043","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:0jxWlzadnSzb9f49f9jxfz","Fruit Salad","The Wiggles","Hit Songs & Rarities","1","2","148066","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:2zF7IDI6UsLXpwl3FjukPS","Cantina Band - From "Star Wars: A New Hope"","London Voices, London Symphony Orchestra, John Williams, New London Children's Choir","Star Wars Sampler","1","11","166973","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:3DUcaEvPO72PijivCjtZcU","Candle In The Wind 1997","Elton John","Candle In The Wind 1997 / Something About ...","1","2","250106","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:0q5L3RndnEB9XkUQVpa0Mk","Seventy Six Trombones","Robert Preston, The Original Broadway Cast Of The Music Man","The Music Man (Original Broadway Cast)","1","6","181400","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:5GNcGJJ34OzLqCzYR1q9sv","Axel F","Crazy Frog","Crazy Hits Christmas Edition","1","3","171666","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:3Z2tPWiNiIpg8UMMoowHIk","We Are The World","U.S.A. For Africa","We Are The World","1","1","427333","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:3Xv5C02Wxlek0dmrYAM5A8","Cha Cha Slide - Original Live Platinum Band Mix","DJ Casper","Cha Cha Slide","1","4","387493","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:6x35brFoJRFCqjSDWvokJJ","Laugh Track 010 - Big Cackle","Hollywood Laugh Tracks","Ultimate Laugh Tracks For Sitcoms, Game Shows, Talk Shows and Comedy Projects, Vol. 1","1","10","8324","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:612VcBshQcy4mpB2utGc3H","Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster","Eric Clapton","Unplugged (Deluxe Edition)","1","4","280000","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:7oDuL0UHvWVDjVW5i5b9LJ","Seinfeld","TV Themes","The Greatest Ever Comedy Television Themes","1","29","52373","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:299lFlaAsNQdgbIZNPmIA0","Christmas Time Is Here - Vocal","Vince Guaraldi Trio","A Charlie Brown Christmas [2012 Remastered & Expanded Edition]","1","6","166386","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:1IfFphfaKhVd4h6woepFpV","Yakety Sax","Boots Randolph","Boots Randolph's Yakety Sax!","1","1","121933","spotify:user:vradin","2018-02-16T02:43:43Z"
"spotify:track:5w3GMeRI9tUpEv6GyxbFBQ","Dolphin On Wheels","Kill The Noise, Dillon Francis","Dolphin On Wheels","1","1","174386","spotify:user:vradin","2018-02-16T02:44:28Z"
