﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:episode:70Y7Lp8TJsqkt7TW9v5zOo","Elyanna - Oululee Leh","Elyanna - Oululee Leh","Elyanna - Oululee Leh","0","0","151444","spotify:user:","2019-12-13T03:34:20Z"
"spotify:track:6AxObuQjAs6rPWyWIoZROV","My Love.","Inez","My Love.","1","1","197647","spotify:user:","2019-12-13T03:34:20Z"
"spotify:track:5VgTMdVuG2x5aZhZSW118r","الغربة","Mok Saib","الغربة","1","1","266833","spotify:user:","2019-12-13T03:34:20Z"
"spotify:track:1lHFLVG6bKH5mA9tiDxN5M","Wouli Liya","Dadju, Kaly, Soolking, Aymane Serhani","Poison Ou Antidote","1","21","241400","spotify:user:","2019-12-13T03:34:20Z"
"spotify:track:20pMd4bZ5Mq88VSkcJL6FO","Money","Mohamed Ramadan","Money","1","1","134397","spotify:user:","2019-12-13T03:34:20Z"
"spotify:track:7Lvia65hnEybyNffeaXIpL","Trika Trika","Faydee, Antonia","Trika Trika","1","1","168646","spotify:user:","2019-12-13T03:34:20Z"
"spotify:track:64BxhMTsd59rugHkQw6I6O","Khamsa Ba2a","Oka, Ortiga","Khamsa Ba2a","1","1","191250","spotify:user:","2019-12-13T03:34:20Z"
"spotify:track:6RBzJVE9ryYf7GdFjSeN8N","Awel Youm Fi Elboad","Amr Diab","Awel Youm Fi Elboad","1","1","231817","spotify:user:","2019-12-13T03:34:20Z"
"spotify:track:1oro0vZyc9FUQcMiyEAVmN","Oululee Leh","Elyanna","Oululee Leh","1","1","151118","spotify:user:","2019-12-13T03:34:20Z"
"spotify:track:4UrJjnjjxTtYnEqX0iOXNr","Mesh Khayef Mennak","Nassif Zeytoun","Mesh Khayef Mennak","1","1","170750","spotify:user:","2019-12-13T03:34:20Z"
"spotify:track:5IhPeCKydPP7qeaJoTzGml","Al Raya Al Baida","Nawal","Al Haneen","1","12","289029","spotify:user:","2019-12-13T03:34:20Z"
"spotify:track:54ytiI75JBleHsTiJwi9d9","Ana Ma Astaghni","Ahlam","Ana Ma Astaghni","1","1","301721","spotify:user:","2019-12-13T03:34:20Z"
"spotify:track:2dU2D16RX11z3PdnJfXvIi","Favor","Zouhair Bahaoui","Favor","1","1","199000","spotify:user:","2019-12-13T03:34:20Z"
"spotify:track:6UKWtT7Ux09NHTEpcKTXX4","Odam Merayetha","Amr Diab","Odam Merayetha","1","1","222500","spotify:user:","2019-12-13T03:34:20Z"
