﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:12VVXFEYxro5C61KyWee9C","Thousand (feat. Lisa Hannigan)","Rosie Carney, Lisa Hannigan","Thousand (feat. Lisa Hannigan)","1","1","206440","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:0a1Jael2mnrkLTyPetixjh","The Trouble with Wanting","Joy Williams","Canary / The Trouble with Wanting","1","2","235586","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:0WkJWnMCumm1fnFscdY7Rw","Michigan","The Milk Carton Kids","Prologue","1","1","330772","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:5uIYONgpUQ7t0v7D6CTMBt","Shrike","Hozier","Nina Cried Power - EP","1","4","300706","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:1vqtj4c5aNPKkLS2LXkd4E","If I Go, I'm Goin","Gregory Alan Isakov","This Empty Northern Hemisphere","1","12","267160","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:1iepnn71MidOJZ7Y3vfgE4","People Change","Mipso","Edges Run","1","6","212853","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:5v2nPcapVA5eXClN6pSKCy","Old Friend","Darlingside","Extralife","1","6","148200","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:0jZO7p0nBUi9VHedWUBS9l","The Night We Met (feat. Phoebe Bridgers)","Lord Huron, Phoebe Bridgers","13 Reasons Why (Season 2)","1","5","208173","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:2wDuq7nBkGJjO4ykq3aJ4D","Chemicals","Gregory Alan Isakov","Chemicals","1","1","199906","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:2J2oWsC3KGoqdUMIwcMRMU","Pharmakon","Humbird","Pharmakon","1","5","155352","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:6WsgELUOvr9rf3XWolZYjc","Ether Garden","Henry Jamison","Gloria Duplex","1","3","167733","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:6aVrVS4xjs2soPEmAa0N7L","Little Flower","Peter Bradley Adams, ALIAS Chamber Ensemble","Little Flower","1","1","375214","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:46t0L3zahcM5AD4wg8ez7X","Tongue Tied - Acoustic","Beta Radio","Tongue Tied (Acoustic)","1","1","185250","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:567EmmCbOtpEuaVC2zznU6","Dirty Old Town","Craig Cardiff","Goodnight (Go Home) - CC010","1","4","246453","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:6mVndIOMk620iAtXeMi4kW","Old Now","Rosemary & Garlic","The Kingfisher","1","5","289970","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:0Dp07EA5ybveKSUE27CuEd","Turntable","Dead Horses","My Mother the Moon","1","1","196173","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:6WQlGuh6c4jciXEyM2rVGX","Waiting Around","Aisha Badru","Vacancy EP","1","1","152952","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:4Opwligc8799m8u2zm89Uo","Aeroplane","Holly Throsby","Aeroplane","1","1","231408","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:1vNfYCzcCJz0FY7MVVA9lM","Recording 15","Shannon Lay","Living Water","1","9","242000","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:3pC8tUjIZPORslYYmJbJcz","Sinking Ship","Wild Child","Sinking Ship / Back & Forth","1","1","247493","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:3nKCmdfFSB49NPGRsfD4wh","Siren Song","The Brother Brothers","Siren Song","1","1","183767","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:1WUHeOPayLKPMG35uBJVUj","Far Too Good","John Smith","Headlong","1","3","219333","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:0HFBVwKtD5kBrQQseDwagJ","Sister","Haux","All We've Known","1","5","133600","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:0NeJjNlprGfZpeX2LQuN6c","River","Leon Bridges","Coming Home","1","10","238560","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:21vNMGKtXBA2a8PaVdIgrM","Bees","The Ballroom Thieves","Deadeye","1","8","190120","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:4tRt91OQSbE9eFA3RwgqSd","The Only Boy Awake","Meadows","The Only Boy Awake","1","2","163294","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:6u1E03WKp0QsOfK5FEzzGr","Portland, Maine","Donovan Woods","Portland, Maine","1","1","203893","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:02a2RQEICEzbdPPYh0aLnJ","My Arms Were Always Around You","Peter Bradley Adams","My Arms Were Always Around You","1","1","200800","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:1DNMD4CEyX2XrFkOR4lvP1","Broken Coastline","Down Like Silver","Broken Coastline","1","1","209280","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:77vpyfnzo1ROWQERRRe21h","All Is Well","Austin Basham","All Is Well","1","1","256681","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:0XIUYBQlVNG1c5vjSQKCYU","Front Porch","Joy Williams","Front Porch","1","1","231813","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:1Ne8Bps9vPxCmmSetoJSBd","Simple Song","Passenger","Simple Song","1","1","228480","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:68wibJU4yMiqNX79IaLAsN","Sense of Home","Harrison Storm","Sense of Home","1","1","265840","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:7rbVQAeKbC37aU45N5GOVC","Twist","Lorkin O'Reilly","Twist","1","1","186157","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:0c99BUd87HQfzgUUQqRyds","For Now","Kina Grannis","In the Waiting","1","6","198403","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:48HT7Zzd3We4ZjG82lsbdK","Arms","The Paper Kites","On the Train Ride Home","1","3","203560","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:7pT3faDXSC5tNAlIKmtrYf","Follow My Voice","Julie Byrne","Not Even Happiness","1","1","242387","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:2qVGmHSlfAhGZJifXVNwUI","Untamed","Eddie Berman","Untamed","1","1","238213","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:250RLekaiL1q9qZer975Eg","If We Were Vampires","Jason Isbell and the 400 Unit","The Nashville Sound","1","5","215563","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:63N91kY6kRA9AEkRat9li0","Find a Way","Quiet Arrows","Year of the Cartographer","1","4","167404","spotify:user:","2019-10-20T23:55:14Z"
"spotify:track:4SEgyVuHzincvWDvypjasT","Hate the Way You Love Me","John Paul White","Beulah","1","9","243867","spotify:user:","2019-10-20T23:55:14Z"
