﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7qwt4xUIqQWCu1DJf96g2k","Hello?","Clairo, Rejjie Snow","diary 001","1","1","135016","spotify:user:","2018-05-31T22:02:52Z"
"spotify:track:1M321puDN1WBd5NF0ogOKW","Habit","Still Woozy","Habit","1","1","153857","spotify:user:","2018-12-12T16:41:18Z"
"spotify:track:7GdGBGwFMg21mY9kNpNKXI","Antidote","Orion Sun","A Collection of Fleeting Moments and Daydreams","1","2","169756","spotify:user:","2018-11-08T17:00:34Z"
"spotify:track:6bAjvvI6Oo1MARyB2zDHPo","Comb My Hair","Pretty Boy Aaron, Bruhnice, Tesia","Comb My Hair","1","1","215400","spotify:user:","2019-08-27T17:00:26Z"
"spotify:track:4luBGXcgpFQPPAtcF4zEdv","Erase","Omar Apollo","Erase","1","1","236794","spotify:user:","2018-05-11T23:40:11Z"
"spotify:track:5mIOsPuQdXchVY0jB5NO9Q","4EVER","Clairo","4EVER","1","1","159595","spotify:user:","2018-04-27T20:59:26Z"
"spotify:track:2sa35Fu5jG7UBb82NVZWMm","Can't Be // How U Feel","Billy Lemos, Stevan","Self","1","4","126693","spotify:user:","2019-02-22T22:11:48Z"
"spotify:track:3Dtr5e9OQGML2f48A6mw9P","Running","Nicotine's Famous Honey, Nicotine","An Open Letter","1","6","247769","spotify:user:","2018-12-12T16:41:18Z"
"spotify:track:1KypMTzxfo8NNIZ30lanZa","Keeping Tabs (feat. Suscat0)","Cuco, Suscat0","Para Mi","1","2","248160","spotify:user:","2019-09-26T17:33:35Z"
"spotify:track:3yV8tx2QY0t6st5LsLZhkF","Ugotme","Omar Apollo","Ugotme","1","1","127272","spotify:user:","2018-01-30T21:53:55Z"
"spotify:track:6Q4oiVdxUveuaVEXWfephy","Flaming Hot Cheetos","Clairo","Flaming Hot Cheetos","1","1","123341","spotify:user:","2018-01-30T21:53:55Z"
"spotify:track:0WKmVAD4VWk5EdTyCFILi4","Needs","Verzache","Needs","1","1","177479","spotify:user:","2019-09-10T14:23:50Z"
"spotify:track:4rcBgGdnnplqvHgjKMk1gL","Garden","Grady, Cuco, MELVV","Garden","1","1","134068","spotify:user:","2018-11-26T18:17:04Z"
"spotify:track:297rZsBEjFw9d0Gl3iBLnd","Goodie Bag","Still Woozy","Goodie Bag","1","1","146390","spotify:user:","2018-01-30T21:53:55Z"
"spotify:track:41o2ydrj7Xm9Yt5odIBqq4","Velvet Light","Jakob Ogawa","Velvet Light","1","1","141587","spotify:user:","2018-04-06T18:15:26Z"
"spotify:track:38loOBAgDgCW4pFWyH9cey","Six Speed","Current Blue","Six Speed","1","1","120000","spotify:user:","2019-03-01T15:53:00Z"
"spotify:track:03ZkvqZOANKndGXfAAPywG","Drown","Cuco, Clairo","Drown","1","1","234055","spotify:user:","2018-08-09T21:57:19Z"
"spotify:track:3PoKFnMD0zAVtQrkJ4e8XH","Unbothered","Omar Apollo","Unbothered","1","1","124954","spotify:user:","2018-01-30T21:53:55Z"
"spotify:track:37y7iDayfwm3WXn5BiAoRk","Dark Red","Steve Lacy","Dark Red","1","1","173104","spotify:user:","2018-01-30T21:53:55Z"
"spotify:track:2fGRJzoiYJYAzlQAyBONMb","Morning Sex","Ralph Castelli","Morning Sex","1","1","175312","spotify:user:","2019-06-21T17:15:39Z"
"spotify:track:5ac9xtBIyhpsPqqH7dBVQ2","Six AM","Inner Wave","wya","1","3","125875","spotify:user:","2019-05-24T08:01:00Z"
"spotify:track:01PN1v5FRjaIZsjzK0c6DV","come ovr","sophie meiers","come ovr/skype calls","1","1","155044","spotify:user:","2019-11-22T20:32:05Z"
"spotify:track:1fZeK4F1yZkVrEOb9ILaax","Today (feat. Teo Halm)","Omar Apollo, Teo Halm","Today (feat. Teo Halm)","1","1","194000","spotify:user:","2018-09-19T19:56:26Z"
"spotify:track:6EErYXgsGBMkwpITHuKuCI","B Cool (feat. Melanie Faye)","Magroove, Melanie Faye","B Cool (feat. Melanie Faye)","1","1","199245","spotify:user:","2018-06-25T20:02:45Z"
"spotify:track:5BoDFGTXZ8j5muc6Sb2jMz","Lava","Still Woozy","Lava","1","1","157303","spotify:user:","2019-04-05T08:01:00Z"
"spotify:track:7G7zCzvyqz39BFE7TqPM3O","All Your Love","Jakob Ogawa","All Your Love","1","1","175241","spotify:user:","2018-01-30T21:53:55Z"
"spotify:track:35ohdMj17ie2y5I8cTWzbt","UNFAIR","Victor Internet","UNFAIR","1","1","231000","spotify:user:","2019-11-22T20:32:05Z"
"spotify:track:5sgUExXhrZ2duO8epviG4M","Harvard","LAUNDRY DAY","Harvard","1","1","208685","spotify:user:","2019-07-26T08:01:00Z"
"spotify:track:4XYo3W8U6IY42EbB01rnR4","Heaven","Clairo","Heaven","1","1","233871","spotify:user:","2018-09-19T19:56:26Z"
"spotify:track:5EYi2rH4LYs6M21ZLOyQTx","Loving Is Easy","Rex Orange County, Benny Sings","Loving Is Easy","1","1","155720","spotify:user:","2018-01-30T21:53:55Z"
"spotify:track:2UOJss6miEJATzDf8hCEOt","Here I Found / No Self Control","Billy Lemos, Quiet Luke","Here I Found / No Self Control","1","1","181581","spotify:user:","2019-05-06T14:39:43Z"
"spotify:track:2iFiwkAEBPtQKk8xmHFJwN","Leaf","zack villere","Leaf","1","1","203135","spotify:user:","2019-04-05T08:01:00Z"
"spotify:track:4SrUyABJsDJ93No5WEHLJi","+ (PLUS)","Victor Internet","+ (PLUS)","1","1","178008","spotify:user:","2019-04-08T15:03:10Z"
"spotify:track:0sHFw13WH3LtSB3yP8UMYJ","Falling for U","Peachy!, mxmtoon","Falling for U","1","1","124000","spotify:user:","2018-02-27T18:25:08Z"
