﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1kFpL1itkwkdhO6kcmNJra","Die From A Broken Heart","Maddie & Tae","Die From A Broken Heart","1","1","188290","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:0SoK5u8MD2VVikNPwXBz74","Babe","Sugarland, Taylor Swift","Bigger (Big Machine Radio Release Special)","1","15","215106","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:2Wj1AZdBPMA1mkuuoTfOPg","Lonely Call","RaeLynn","WildHorse","1","4","224106","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:6nqvInlnaMzEzaw4s0zbee","Doin' Fine","Lauren Alaina","Road Less Traveled","1","1","199906","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:3quTUw70QQN6rPRWximeGp","If I Were You (feat. Keith Urban)","Jillian Jacqueline, Keith Urban","If I Were You (feat. Keith Urban)","1","1","213133","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:09iyGiljLWRYXdRazFkdtJ","I Could Use a Love Song","Maren Morris","HERO (Deluxe Edition)","1","4","196421","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:7LzeKqmOtpKVKJ1dmalkC0","Good as You","Kane Brown","Experiment","1","2","192053","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:698eQRku24PIYPQPHItKlA","She Got the Best of Me","Luke Combs","This One's for You Too (Deluxe Edition)","1","17","183160","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:3VamXAvVMczcS2PTYtPfBQ","Best Shot","Jimmie Allen","Mercury Lane","1","13","195053","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:53yTYusPQJ1AApL1hi0Dnc","Sunrise, Sunburn, Sunset","Luke Bryan","What Makes You Country","1","5","216093","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:10M2Ex445zw585Ducldzkw","In Case You Didn't Know","Brett Young","Brett Young","1","4","224853","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:7GxfINgatbVk4EM7sVW4xr","Almost Over You","Jessie James Decker, Randy Houser","Southern Girl City Lights","1","4","211160","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:6xHI9KjUjYT0FPtGO8Mxa1","Hurricane","Luke Combs","This One's for You","1","5","222533","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:5S5rw0WLVCAux5B5bWCehK","I Like The Sound Of That","Rascal Flatts","Rewind","1","8","209280","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:2A69wys3S9uiPSmn6UZWJn","Written in the Sand","Old Dominion","Happy Endings","1","6","184080","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:3ClguHW7ndoVp2ARyXXi9M","More","Clare Dunn","More","1","1","212120","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:0fNCLvSVUEK7NTwhu5vk5B","Consider Me Gone","Reba McEntire","Keep On Loving You","1","5","218053","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:2YMhrXQYKkm4kXLcXKKd5z","Small Town Boy","Dustin Lynch","Current Mood","1","3","205733","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:03fT3OHB9KyMtGMt2zwqCT","Play It Again","Luke Bryan","Crash My Party","1","9","226866","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:6DY8aOcWyDYgg4ZyZKzC4B","Hide The Wine","Carly Pearce","Every Little Thing (Big Machine Radio Release Special)","1","3","209586","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:5FIp4LrsffxiHLhmmpCbCx","A Little Bit Stronger","Sara Evans","Stronger","1","2","301986","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:5UDqWOgDdixYMAgAyNbpgh","Merry Go 'Round","Kacey Musgraves","Same Trailer Different Park","1","3","206893","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:66IULVOTImQG2u0cJ3Ls04","Five More Minutes","Scotty McCreery","Five More Minutes","1","1","238954","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:6CyJlVAEFlNdpggOLanytL","Hangin' On","Chris Young","Losing Sleep","1","2","185440","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:3I7krC8kr0gFR7P6vInR1I","Do I Make You Wanna","Billy Currington","Summer Forever","1","9","234306","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:6n6OQfBpCgzF9oEg8zhBN7","Get Along","Kenny Chesney","Songs for the Saints","1","3","199625","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:4xInIiKipU1mtUogJ3ZdYr","American Honey","Lady Antebellum","Need You Now","1","3","224866","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:498ZVInMGDkmmNVpSWqHiZ","May We All","Florida Georgia Line, Tim McGraw","Dig Your Roots","1","6","226173","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:4Pn0JlCUusD2QHjADuOzuV","Humble And Kind","Tim McGraw","Damn Country Music","1","11","259266","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:6E9V9TRlVOLjenGjHemzEH","Hard To Love","Lee Brice","Hard 2 Love","1","1","224293","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:2NEBP8SXEqwZt2PRdPXXuy","Everything's Gonna Be Alright","David Lee Murphy, Kenny Chesney","No Zip Code","1","3","229573","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:609qKv3KPAbdtp0LQH2buA","I'll Name the Dogs","Blake Shelton","Texoma Shore","1","1","183640","spotify:user:","2019-10-25T15:47:58Z"
"spotify:track:0H04yVa3DJxoXbLBpAb7iV","I'm Comin' Over","Chris Young","I'm Comin' Over","1","2","197280","spotify:user:","2019-10-25T15:47:58Z"
