﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6Yr2cyWPpdHeWVsOwu9rzg","O Come All Ye Faithful - Recorded at Sound Stage Studios Nashville","Elevation Worship","O Come All Ye Faithful - Recorded at Sound Stage Studios Nashville","1","1","224527","spotify:user:","2019-11-29T03:16:12Z"
"spotify:track:3jRBwf09lbRAp2DSPlRx8p","The Christmas Song","Lauren Daigle","The Christmas Song","1","1","270934","spotify:user:","2019-11-29T03:16:12Z"
"spotify:track:6vhxljJaPconaEFHzPc0mc","O Holy Night","Kari Jobe","Where I Find You: Christmas Edition","1","15","327306","spotify:user:","2019-11-29T03:16:12Z"
"spotify:track:2PzQepOc2vrzP8hYfQlghd","Gloria/Angels We Have Heard on High","Casting Crowns","It's Finally Christmas - EP","1","1","271760","spotify:user:","2019-11-29T03:16:12Z"
"spotify:track:3HhJXoQwER0UpyjpnyZvz6","In the Bleak Midwinter","Paul Cardall, Audrey Assad","Christmas","1","2","282266","spotify:user:","2019-11-29T03:16:12Z"
"spotify:track:2nyOyG4VeX6U3xk5VXeNU2","Christmas With You","Cochren & Co.","Christmas With You / Please Come Home for Christmas","1","1","199619","spotify:user:","2019-11-29T03:16:12Z"
"spotify:track:5theMlNBtF80y4WXPzSCAZ","Joy to the World/Our God Saves","Paul Baloche, All Sons & Daughters","Christmas Worship, Vol. 2","1","1","275840","spotify:user:","2019-11-29T03:16:12Z"
"spotify:track:5VYOgISqyGjLh6OdpSnAid","O Come All Ye Faithful (Come & Adore)","Darlene Zschech, HopeUC","The Table: A Christmas Worship Gathering","1","2","484947","spotify:user:","2019-11-29T03:16:12Z"
"spotify:track:2OUn8AdgAOFsdAZ4WJOUzq","O Come, O Come, Emmanuel","JJ Heller","Unto Us","1","11","168550","spotify:user:","2019-11-29T03:16:12Z"
"spotify:track:5CrHDKlYG6pyg6gqLP2tVS","Do You Hear What I Hear","Nichole Nordeman","Christmas Angels","1","7","231493","spotify:user:","2019-11-29T03:16:12Z"
"spotify:track:5X2ePDTChSXPZ3aZj1dhuC","Hark the Herald Angels Sing","Matt Maher","Do You Hear What I Hear? Songs Of Christmas","1","3","256666","spotify:user:","2019-11-29T03:16:12Z"
"spotify:track:5a92b8VExfvFZIUl2YQwjQ","The Prayer","Danny Gokey, Natalie Grant","The Prayer","1","1","271803","spotify:user:","2019-11-29T03:16:12Z"
"spotify:track:1kWURevnsmpQUrAhuzRplk","Silver Bells","Marc Martel, Amy Grant, Michael W. Smith","Silver Bells","1","1","193160","spotify:user:","2019-11-29T03:16:12Z"
"spotify:track:3XCTNa3y71mNMlhNQq2YSs","Heaven Everywhere","Francesca Battistelli","Christmas","1","2","207880","spotify:user:","2019-11-29T03:16:12Z"
