﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3qn7FzYkDLJBbOnRwSsDWV","Night Train","Jason Aldean","Night Train","1","9","232306","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:045SnNDjOfOLKM5OxARH4g","Small Town Boy","Dustin Lynch","Small Town Boy","1","1","206573","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:2ZFrEp20VO25BXYhMxh0GW","Get Along","Kenny Chesney","Get Along","1","1","199626","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:7zVCrzzEJU7u24sbJPXA5W","What Ifs","Kane Brown, Lauren Alaina","Kane Brown","1","2","188253","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:5fSPbm5lcwtqwXkeQQswW8","Record Year","Eric Church","Mr. Misunderstood","1","9","179346","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:06gD2ZtK3Dzc1BYqWExQJJ","Broken Halos","Chris Stapleton","From A Room: Volume 1","1","1","180906","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:6E9V9TRlVOLjenGjHemzEH","Hard To Love","Lee Brice","Hard 2 Love","1","1","224293","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:4P92FrvmYQSAfOpp4cpFEi","Simple","Florida Georgia Line","Florida Georgia Line","1","1","185200","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:7px4t7HGiuMUvFkEOpZEwp","Song for Another Time","Old Dominion","Meat and Candy","1","9","191826","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:5kNe7PE09d6Kvw5pAsx23n","Die A Happy Man","Thomas Rhett","Tangled Up","1","4","227426","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:3IPkbTA8KkdDXyWtGkfFXa","Singles You Up","Jordan Davis","Singles You Up","1","1","182693","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:5jROdl6MhcmP3O7h2sVgtw","Parachute","Chris Stapleton","Traveller","1","4","253200","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:0kdiUZDcLIFw0Buo9r0Q4z","Greatest Love Story","LANCO","LANCO - EP","1","3","222400","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:5S5rw0WLVCAux5B5bWCehK","I Like The Sound Of That","Rascal Flatts","Rewind","1","8","209280","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:7qXPZxXn6Xmv1sjh03skiW","Southbound","Carrie Underwood","Cry Pretty","1","5","202853","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:4Qx06Fzsepmdz2NGSWfZck","Beautiful Crazy","Luke Combs","Beautiful Crazy","1","1","193200","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:3xdjjKMcMOFgo1eQrfbogM","Wagon Wheel","Darius Rucker","True Believers","1","3","298373","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:4H0vNUFcHPz5lytcLjwqkr","Rich","Maren Morris","HERO (Deluxe Edition)","1","2","208893","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:1TwLKNsCnhi1HxbIi4bAW0","House Party","Sam Hunt","Montevallo","1","3","190240","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:4VFE6ZNqa8jHAmbYICoAFg","God, Your Mama, And Me","Florida Georgia Line, Backstreet Boys","Dig Your Roots","1","11","183413","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:1Wjk9qHVbxgOopOEP9SqLW","Sleep Without You","Brett Young","Brett Young EP","1","1","187813","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:05ZACkzW8YbRq3eFgIfSNB","Springsteen","Eric Church","Chief","1","9","263386","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:0B0y2FImat9j9MJTNRZWfW","Automatic","Miranda Lambert","Platinum","1","6","247826","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:1HXy5I3HTWq8OvxCn0z7G7","Heaven","Kane Brown","Kane Brown (Deluxe Edition)","1","15","179506","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:7mldq42yDuxiUNn08nvzHO","Body Like A Back Road","Sam Hunt","Body Like A Back Road","1","1","165386","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:4gB7HrYHbJVJ5RFOjxmoq4","One Number Away","Luke Combs","This One's for You","1","6","221800","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:1mJMD1VIQ7jWTP9DK2zmY0","Kiss Somebody","Morgan Evans","Kiss Somebody","1","1","212445","spotify:user:","2019-12-13T16:20:56Z"
"spotify:track:6usHXaTn54uwwozmH00d3X","Written in the Sand","Old Dominion","Written in the Sand","1","1","184080","spotify:user:","2019-12-13T16:20:56Z"
