﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:26wLOs3ZuHJa2Ihhx6QIE6","Teeth","5 Seconds of Summer","13 Reasons Why (Season 3)","1","1","204887","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:05CwHjIk71RXVU40boRMnR","Call You Mine","The Chainsmokers, Bebe Rexha","World War Joy","1","1","217653","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:7uYIX9O9DY6l1D3HiwHR1J","Freaking Me Out","Ava Max","Freaking Me Out","1","1","192455","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:6kls8cSlUyHW2BUOkDJIZE","Hate Me (with Juice WRLD)","Ellie Goulding, Juice WRLD","Hate Me (with Juice WRLD)","1","1","186223","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:3BaqaNqlr2BAOgtmamDqSV","Love Me Less (feat. Kim Petras)","MAX, Kim Petras","Love Me Less (feat. Kim Petras)","1","1","177669","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:46D0hYb1B7qiU33VtXt21W","Easy","Camila Cabello","Easy","1","1","194686","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:1HimGOB6BjOaCQYMIF1xtU","What Am I","Why Don't We","What Am I","1","1","184665","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:5icOoE6VgqFKohjWWNp0Ac","Here With Me","Marshmello, CHVRCHES","Here With Me","1","1","156346","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:0rIAC4PXANcKmitJfoqmVm","Motivation","Normani","Motivation","1","1","193837","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:1HfMVBKM75vxSfsQ5VefZ5","Lose You To Love Me","Selena Gomez","Lose You To Love Me","1","1","206458","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:7aiClxsDWFRQ0Kzk5KI5ku","hot girl bummer","blackbear","hot girl bummer","1","1","185093","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:07Oz5StQ7GRoygNLaXs2pd","Good as Hell (feat. Ariana Grande) - Remix","Lizzo, Ariana Grande","Good as Hell (feat. Ariana Grande) [Remix]","1","1","159011","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:4fwo6czG5nvOQMzhOto1ya","Lonely (with Jonas Brothers)","Diplo, Jonas Brothers","Lonely","1","1","139813","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:6l7lX8hJXVIUyPrTaabpqk","Ready","Alessia Cara","Ready","1","1","178746","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:5aUSEPNd3m5xliFK4pn5mU","Good Thing (with Kehlani)","Zedd, Kehlani","Good Thing (with Kehlani)","1","1","210901","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:1iQDltZqI7BXnHrFy4Qo1k","Trampoline (with ZAYN)","SHAED, ZAYN","Trampoline (with ZAYN)","1","1","184280","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:4evmHXcjt3bTUHD1cvny97","Beautiful People (feat. Khalid)","Ed Sheeran, Khalid","Beautiful People (feat. Khalid)","1","1","197866","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y","How Do You Sleep?","Sam Smith","How Do You Sleep?","1","1","202204","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:0DiDStADDVh3SvAsoJAFMk","Only Human","Jonas Brothers","Happiness Begins","1","3","183000","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:3cphb8kdsjElYR7r5icK3H","Nice To Meet Ya","Niall Horan","Nice To Meet Ya","1","1","158805","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:0mjAU3yKR1QnXnHtjGJqTM","Rescue Me","OneRepublic","Rescue Me","1","1","158899","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:2wrJq5XKLnmhRXHIAf9xBa","10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)","1","1","167693","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:0rTV5WefWd1J3OwIheTzxM","Talk","Khalid, Disclosure","Talk","1","1","197487","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:2plLJpUcYPFrl1sW2pMG63","Lights Up","Harry Styles","Lights Up","1","1","172226","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:0y675KDleCZEudjoeL1sQQ","Feelings","Lauv","Feelings","1","1","189613","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:5ieQrVW2U70NFMg28mzlqC","Harder (with Bebe Rexha)","Jax Jones, Bebe Rexha","Harder","1","1","159760","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:4R9ATNRRl1uth17i5qDCc0","I.F.L.Y.","Bazzi","I.F.L.Y.","1","1","165714","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:0yc37FvbXRwwFaQxzpxbsd","Somebody To Love","OneRepublic","Somebody To Love","1","1","181408","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:1xU2QZ40MY4Ex2pfczZa9U","Stack It Up (feat. A Boogie Wit da Hoodie)","Liam Payne, A Boogie Wit da Hoodie","Stack It Up (feat. A Boogie Wit da Hoodie)","1","1","166406","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:0ClPIeT6MSgfSgQ9ZrJbAq","Cheating on You","Charlie Puth","Cheating on You","1","1","196606","spotify:user:","2019-12-06T22:15:19Z"
"spotify:track:2b8fOow8UzyDFAE27YhOZM","Memories","Maroon 5","Memories","1","1","189486","spotify:user:","2019-12-06T22:15:19Z"
