﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4g8k9cKU6G7Bke5PQOvpg4","I'll Live On","Swanky Tunes, Jantine","I'll Live On","1","1","185409","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:36pnXanMd4616gs6dIOVfV","Like This Like That","MOTi","Like This Like That","1","1","139047","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:592JiALLj5xL5Z6LuMmaOV","Spaceship (feat. Uffie) - MOTi Remix","Galantis, Uffie, MOTi","Spaceship (feat. Uffie) [Remixes]","1","1","189523","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:23xtuubzgbV2UCKepN0h84","Nothing To Do","Bancali","Nothing To Do","1","1","153652","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:4RgDgaohkG08f630ZT9QKc","Body - Dzeko Remix","Loud Luxury, Brando, Dzeko","Body (Dzeko Remix)","1","1","165714","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:27IOrLIwKsx3dkciVjlmIs","Count On You","Triple M, Fiftee West","Count On You","1","1","159470","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:0iIF71yQUh4V3w5J00ob7K","This Groove - Codeko Remix","Oliver Heldens, Lenno, Codeko","This Groove (Codeko Remix)","1","1","191612","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:1D2Aldrksl9yWWCIPOeDzy","All Around The World (La La La)","R3HAB, A Touch Of Class","All Around The World (La La La)","1","1","147840","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:6xfT4ubp1ETiqfDtUbdYHI","Light Me Up","SNO","Light Me Up","1","1","184761","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:4BVn3RIQ4gZxxytx8duidP","DALE","ricky retro","DALE","1","1","131001","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:1Bs9jRUjt9ct4YBVNGOrNN","Friday (feat. JGUAR)","MOTi, JGUAR","Friday (feat. JGUAR)","1","1","139047","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:2WXXvinO2ehBBLgw4vDiRe","Money","Klaas","Money","1","1","146718","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:6fIgsZFtGXiIvxb2Y6oCc7","Apple Juice (feat. Carla Monroe) - MOTi Remix","SLATIN, Carla Monroe, MOTi","Apple Juice (feat. Carla Monroe) [MOTi Remix]","1","1","138750","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:67ynLMDYjqzEoRC7Aa4DEh","Verona","Klingande","The Album","2","3","200624","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:2zS3p0DXhwJedhNhAaSViP","Incognito","Dlugosh, Siik, Exodus","Incognito","1","1","170624","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:6Wmi08VTuMIAivClvxXyRK","Take Off","RetroVision","Take Off","1","1","191428","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:0cZGbSrqRJ9BQF0wduo4qJ","The Drill","Magnificence, 7 Skies","The Drill","1","1","145920","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:5UUqlmt2e0wNioe94eGWaF","El Camino","Black Caviar","El Camino","1","1","185813","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:7DP3Y8QRSo7ID89shfUZgN","New World Sound","Tom & Jame","New World Sound","1","1","140000","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:7hhALyPapWKKdgucZdtmFf","Deep In My Soul","Rob & Jack, Albin Myers","Deep In My Soul","1","1","144833","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:1SG6r7daFfpzPcU15luVqB","Never Change","Don Diablo","Never Change","1","1","170476","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:6ZMxTyjFP2Ow76IpGfuIPA","World At Our Feet - VIZE Remix","Timmy Trumpet, VIZE","World At Our Feet (VIZE Remix)","1","1","179062","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:3TjSNnWdMtQikWJ59koTGR","Vibe","Siks, Alex Pizzuti","Revealed Recordings presents ADE Sampler 2019","1","5","157142","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:2UkF0EWfh0T90ScJzGqnD1","White Lies","M-22","White Lies","1","1","176377","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:6xmCl1MwMH2CSJtQy9p4xa","We Found Love - Zack Martino & Kastra Remix","Sultan + Shepard, Showtek, Kastra, Zack Martino","We Found Love (Zack Martino & Kastra Remix)","1","1","173333","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:03m9WRVBzoxyTeKblvLvpR","You Got The Love","Keanu Silva, Mo Falk","You Got The Love","1","1","164445","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:7p2a3eDdVHD7xlwSFstAsF","Roll 'n Rock","Bali Bandits","Roll 'N Rock","1","1","150000","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:6a9vKVMFfNBi741DVSit3H","Feel Good","Felix Jaehn, Mike Williams","Feel Good","1","1","164905","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:5yDgKimQob1vO7lUGqdxSn","XTC","Jack Wins, Oomloud","XTC","1","1","149454","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:1RVqFnUO9WxOasA4mPQkoi","Make Me Feel","SOVTH, Kevin Moncado","Make Me Feel","1","1","216190","spotify:user:","2019-12-12T16:21:40Z"
"spotify:track:7DC0O3pMpDFefdk51dr7pU","Hotstepper","John Gibbons","Hotstepper","1","1","155316","spotify:user:","2019-12-12T16:21:40Z"
