﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3BoKHF4H6OG9lSWKa1Scq3","Schnitz n´Schniggles","Jack Rosenbaum","Schnitz n´Schniggles","1","1","219000","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:3YIGwxuPgjiJNWwlfd1rqQ","I've Got You Under My Skin","The Red Robin Quartet","Mellow Tone","1","1","378212","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:3ZAS8KpfVyIbd5QU53gypW","Slide","Hara Noda","Catcher","1","4","190971","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:5AltAzCAJksd2Tl66jqlf3","Never Let Me Go","CMC 3","Never Let Me Go","1","1","343750","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:0JV4YY8aqwUmDJyPEozdxJ","First Season","Henry Lindon","Late Night Walk","1","2","202462","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:4mFe5Dps693mNeAvnyT09T","You Go To My Head","Paul Moretti Trio","Cheek To Cheek","1","2","235548","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:1jdgzJGZxD8iP1Cc7FRD5F","I’m Old Fashioned","Carl Bagge Trio","Långholmen Sessions Vol. 1","1","1","272000","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:4J6GUPhrAVnfrrL32ycOMh","Let's Fall In Love","Saint Clair Quartet","Let's Fall In Love","1","1","206593","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:7gWHzQHIZz0xmVLvrVFkan","The Way You Look Tonight","Dennis Roland","Like Someone In Love EP","1","3","215719","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:4rlsPAdugDbQs6q3R4o2R0","If I Were A Bell","The Lenny Ryan Trio","Blame It On My Youth","1","3","215604","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:0FISgNw6RbJZ2fmN40Tb5X","Very Early","Gustav Scheringer Duo","Ill Wind","1","1","304500","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:3gK8dhPGguBkG8y2HCQqtw","Recorda Me","Grove Street Quartet","April In Paris","1","3","160921","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:6v6riC5wOjOQRGgeiUsxIb","The shadow of your smile","The Blue Green","Jessica","1","3","228000","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:0nwsF4BWT7bTI5l64IO4Wj","You've Changed","Mike Coen","You've Changed","1","1","424750","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:2PARMfI4rjQG8EOkYSIuL6","Somewhere Sometime","Oakwood Station","Somewhere Sometime","1","1","199102","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:6iqyiNM3H4OoB7O02IYsVd","Cherokee","Grove Street Quartet","April In Paris","1","2","199338","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:3s2RFp5hU6jEvAmfZrnrAi","I'll Let You Know","David Hazeltine","The New Classic Trio","1","4","408600","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:2aFgx18xSsCjzZo9vMtyTw","Everytime around","Vernon Sanders","Everytime around","1","1","325562","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:07OtQ17XO7T6wHwsYxGICe","Softly, as in a Morning Sunrise","Art Kingsley","Maiden Voyage","1","1","201843","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:7aCO33Cnj6wLZx31KLfSs3","Catcher","Hara Noda","Catcher","1","1","233375","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:42yJPYOs9v9OikUdrJyHTj","Someone To Watch Over Me","Paul Moretti Trio","Cheek To Cheek","1","3","223143","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:1Jguf6gwtrywE2mRHqsdmY","Got That Feeling","Peter Sandberg","A Scandinavian Thing","1","4","359936","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:63UFSr8E41KodHZ0i618am","Love Letters","The Josh Rogers Band","Love Letters","1","1","210555","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:5wJKsSgTQMlLxvxcIWs72e","People Change","Eskils Tune","People Change","1","1","202297","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:6V5OcaQior9q7a8r4b93M5","I'll Be Seeing You","Phillip Love","East River EP","1","3","243333","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:2zg49YbIfPq0zzzo8tdx1a","There Will Never Be Another You","The Golden Hour Quartet","Someone In Love","1","3","188461","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:6xr1Bpd6LXKLAWxE5JDOeN","Looking Back Again","Leo Sherman, Paul Jones, Alex Goodman, Ben Winkelman, Dan Pugach","Tonewheel","1","7","350911","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:3R74wQU9gBQO2Wp9idOGr0","April In Paris","Grove Street Quartet","April In Paris","1","1","239301","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:3CGqAtOKUe4pn3j9kOKp4J","Mo' Better Blues","Maxeen","Mo' Better Blues","1","1","230312","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:5LBbKfP2Jf8z7EcEBmqyF7","Blue Spaces","Oakwood Station","Somewhere Sometime","1","2","183346","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:6s7knDkFQOigynMft0WRv6","The Gadget","The Wallraff Group","The Gadget","1","1","202500","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:1HBrYLUou9PbQDp91wVA9f","I'm An Old Cowhand","The Josh Rogers Band","Love Letters","1","2","143634","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:0uDCyiPYTHNaHI1wZJJu9G","Retrospective","Dave Green Trio","Time Will Tell","1","12","207013","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:2IrT3C62hvmGjPdxxlErDj","East River","Phillip Love","East River EP","1","1","281890","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:0YS2Iy9JTHWVm4ros9DRJI","As We Believed","Oakwood Station","For Better Times","1","2","247283","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:7wUhqvvTYHgxUTPdIPEF8m","Sunny","Tim Donnelly Band","Sunny","1","1","234068","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:5RXKOpWIQI3fmuzqY4uS8n","I've Never Been In Love Before","Ted Lightfoot","In Love","1","2","266499","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:7eIg0pXtdse4SJimKExL3F","Anna","Gary Alesbrook","The Stories We Tell Ourselves","1","5","372120","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:4XJwaQOwqrfkiXkAuxZSNd","Madison","The Late Nighters","Madison","1","1","153362","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:4I7eOaJAwSX7tpMSxg1hY5","You Go To My Head","Village Jazz Duo","You Go To My Head","1","1","304001","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:67JHLdXWmpythNIQwRCyyX","Body and Soul","Rachel Younger","You Don't Know What Love Is EP","1","3","290899","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:7GVgL5pb8Km5PRL3h7R9z5","I Concerntrate on You","Dave Green Trio","Time Will Tell","1","6","279000","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:65aPk9Q8mmd79kdNF7u4Z4","These Empty Streets","Ronald & the Fairies","These Empty Streets","1","1","184319","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:6mP2sr32RtiyUrlq2AEvkG","It's a Blue World","Massimo Faraò, Carmelo Leotta, Bobo Facchinetti","Barcode","1","5","264093","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:6uq779w0sV8nS7MSPAlHvY","Blame It On My Youth","The Lenny Ryan Trio","Blame It On My Youth","1","2","285669","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:6JrDEAQeMwqgSq3dOuLCNy","Alma","Bladverk Band","To Stella","1","1","251502","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:0I5lTZ0H7THnlKQodibMMD","Get On Get Out","The Wallraff Group","Get On Get Out","1","1","193124","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:3leUW1dyqvRwiBaBSm4woa","Walk The Dog","Leonard Peters","Walk The Dog","1","1","155124","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:22OodWHyxhBiX7cCYVNmKj","Lower East","Hara Noda","Lower East","1","1","209374","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:15lAsZ1d3faSVntwdhIuUC","Autumn Leaves","Ry Starky","My Funny Valentine","1","2","209188","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:7thyh63zxn9tP8ESdwzdoi","Cantaloupe Island","Tim Donnelly Band","Sunny","1","3","274604","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:418awaNpluyE2Lvoh6lD0p","Love Is Here To Stay","CMC 3","Setembro","1","1","262000","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:0CMPb56yOXSCwSz5AV4LPq","Ages Ago","Ennio Máno","Light Dance","1","4","199625","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:7eFeS0sQjjK4g54oCGEiCB","317 East 32nd St.","Kósmos","Back Home","1","5","372269","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:3L3QPczEW3sSf17X7rwwC3","In A Mellow Tone","The Red Robin Quartet","Mellow Tone","1","2","215019","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:03mc8Pi679YgaoxQx1yHBD","Festival Grease","Snorre Kirk, Stephen Riley","Tangerine Rhapsody","1","7","318826","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:7aRw9EcUlIKRRLL2s43sCQ","How Deep Is The Ocean","Susanne Fade","Darn That Dream","1","2","217704","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:1lHu8rFjgnkUap7qLuW1Gs","All Of You","Ted Lightfoot","In Love","1","3","149919","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:78S8rCKCJ3MUoGF3LCnpo4","Gentle rain","The Blue Green","Jessica","1","1","256000","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:7iPW9WVodDQHwmKvPCzT5r","I Fall In Love Too Easily","Alexandre Laporte","I Fall In Love Too Easily","1","2","211324","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:6E4ek3sR3YlDOTrw57UlnM","Maiden Voyage","Art Kingsley","Maiden Voyage","1","2","320986","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:2vCFOb6JLg3nUDATx1yuXR","Misty","Sofia Rojic","Africa EP","1","2","266268","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:5X6IyZNTHOehDW5BCsAqJH","And Suddenly There Was Love","Jonah Aardekker","And Suddenly There Was Love","1","1","267142","spotify:user:","2019-12-03T15:15:13Z"
"spotify:track:7nbQBpnj4CfKEycYy1dNLT","I Could Write A Book","Jacob Schwarz Trio","Jazz Nights","1","1","189730","spotify:user:","2019-12-03T15:15:13Z"
