﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1M4qEo4HE3PRaCOM7EXNJq","Adore You","Harry Styles","Adore You","1","1","207133","spotify:user:","2019-12-06T19:59:39Z"
"spotify:track:0Uon5NsSAkBDx69XYOaQ5P","Stay","Gracie Abrams","Stay","1","1","177152","spotify:user:","2019-11-22T05:33:14Z"
"spotify:track:0YqBRZmOpq4i30fqldKhOT","Hide n Seek","cehryl","Hide n Seek","1","1","164465","spotify:user:","2019-12-11T13:36:24Z"
"spotify:track:3jLHo30ucbkYY9P7v8leKh","Sea Sick","binki","Sea Sick","1","1","130714","spotify:user:","2019-10-22T14:30:00Z"
"spotify:track:2YJ7tTicU1vUmUjYNJROrv","BOYFREN","LoveLeo","BOYFREN","1","1","136955","spotify:user:","2019-12-04T21:41:34Z"
"spotify:track:7hpJ9tATWb2vztlq99hERP","Maniac","Conan Gray","Maniac","1","1","185786","spotify:user:","2019-10-25T04:01:00Z"
"spotify:track:71sD7fTNVPhnzvhmZo9hJB","A Feeling","zack villere","A Feeling","1","1","208248","spotify:user:","2019-12-11T13:36:24Z"
"spotify:track:6YRLMz4DOqNtGCvqGR2E0N","I CHOOSE YOU","Adam Melchor","I CHOOSE YOU","1","1","218500","spotify:user:","2019-11-22T05:49:29Z"
"spotify:track:0X3a2iLqyGMYi4g2WtUaXu","prom dress","mxmtoon","prom dress","1","1","197933","spotify:user:","2019-06-27T19:19:27Z"
"spotify:track:13O36COxxWjcvc9r5Zsd1P","Puppy Dog","Dreamer Boy","Puppy Dog","1","1","210281","spotify:user:","2019-12-11T13:36:24Z"
"spotify:track:42uy5NuT0jGny3Ozp2DrxK","SCRAMBLED","Havelock","SCRAMBLED","1","1","277141","spotify:user:","2019-12-06T19:59:39Z"
"spotify:track:0tpsGNKhQwqTlj2XZ03ql2","BLUE CELLOPHANE","BabyJake","BLUE CELLOPHANE","1","1","181200","spotify:user:","2019-11-15T13:42:40Z"
"spotify:track:5M3KOe4FGUidvRDUbFFdFk","Açaí Bowl","Dominic Fike","Açaí Bowl","1","1","177400","spotify:user:","2019-12-10T20:27:45Z"
"spotify:track:23TPP1eeElFfvYVznskwCY","Glitter","BENEE","FIRE ON MARZZ","1","2","180146","spotify:user:","2019-12-05T20:00:56Z"
"spotify:track:14kYOiFVPb7E7NfFbqhdln","goodnight n go","Ariana Grande","Sweetener","1","13","189506","spotify:user:","2019-12-11T13:36:24Z"
"spotify:track:7duh8jJuNZbWQjoTx2GsDz","blue skies","gabriel black","blue skies","1","1","128425","spotify:user:","2019-09-13T13:21:42Z"
"spotify:track:6zHyWsqTzT6Fympdy9KQDQ","Dontmakemefallinlove","Cuco","Chiquito","1","2","207692","spotify:user:","2019-09-20T04:01:00Z"
"spotify:track:7rBP4bLjMLNkix1nGHjheP","Oui ou non","Angèle","Brol La Suite","1","2","196800","spotify:user:","2019-11-07T05:01:00Z"
"spotify:track:6CFEiKms2260GexcAq7LeP","hello!","ROLE MODEL","hello!","1","1","188546","spotify:user:","2019-10-11T04:01:00Z"
"spotify:track:0uJ3orpKS4UjIf7WRZodJ5","4Tounce","Johnny Utah","4Tounce","1","1","167712","spotify:user:","2019-11-07T05:01:00Z"
"spotify:track:02iFWg8h0cc8tpL7OtlLaq","Chinatown Market","Danny Dwyer","Chinatown Market","1","1","132509","spotify:user:","2019-12-11T13:36:24Z"
"spotify:track:6Dvxpqv61hyRZJs4qDfiP3","Dennis","Roy Blair","Dennis","1","1","194363","spotify:user:","2019-06-27T19:19:27Z"
"spotify:track:3I7axpzCW6bt5PhoM8kfrA","Vanity","Jack Larsen","Vanity","1","1","293056","spotify:user:","2019-12-11T13:36:24Z"
"spotify:track:02lKe7OF80iSFAicx70AJr","Decide","Jelani Aryeh","Decide","1","1","178005","spotify:user:","2019-12-03T18:18:11Z"
"spotify:track:18pa8bezpm5gRKLI7kKkZX","dancefloor","marcos g","dancefloor","1","1","198000","spotify:user:","2019-11-15T13:42:40Z"
"spotify:track:0XSncrobBZoW1A0bFh8Ttx","say it first","ROLE MODEL","oh, how perfect","1","5","159480","spotify:user:","2019-11-14T06:01:00Z"
"spotify:track:3V0nnQhqvbE3JmiDdnzQFQ","July (feat. Leon Bridges)","Noah Cyrus, Leon Bridges","July (feat. Leon Bridges)","1","1","152280","spotify:user:","2019-11-08T05:01:00Z"
"spotify:track:4E3U39bAmc61R0hZu2xciI","My Little","Ryan Leahan","Platinum Green","1","4","122978","spotify:user:","2019-12-11T13:36:24Z"
"spotify:track:0WKmVAD4VWk5EdTyCFILi4","Needs","Verzache","Needs","1","1","177479","spotify:user:","2019-09-20T04:01:00Z"
"spotify:track:0Q4PkMbhBDSS5jBaPm4ZmH","Faraway","Ruben Dawnson","Faraway","1","1","147164","spotify:user:","2019-10-29T19:57:53Z"
"spotify:track:7pcANiSH8mEKLUIPAxiSDr","CAN YOU HEAR THE MOON","Grady","The in Between","1","1","182534","spotify:user:","2019-10-25T04:01:00Z"
