﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6LsAAHotRLMOHfCsSfYCsz","If I Can't Have You","Shawn Mendes","If I Can't Have You","1","1","190800","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:4y3OI86AEP6PQoDE6olYhO","Sucker","Jonas Brothers","Sucker","1","1","181040","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:7COXchtUOMd6uIT6HvmRaI","i'm so tired...","Lauv, Troye Sivan","i'm so tired...","1","1","162582","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:11cDEev79fPKi6uJCjUhu8","Who Do You Love","The Chainsmokers, 5 Seconds of Summer","Who Do You Love","1","1","226746","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:5JEx7HbmvHQQswJCsoo9rA","Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding, Diplo, Swae Lee","Close To Me (feat. Swae Lee)","1","1","182623","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:2tOOcDDYkh0PSjr6GwPEAJ","Love Me Less (feat. Quinn XCII)","MAX, Quinn XCII","Love Me Less (feat. Quinn XCII)","1","1","177669","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:5PYQUBXc7NYeI1obMKSJK0","Never Really Over","Katy Perry","Never Really Over","1","1","223523","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:29fRTIKsJhLUJoldM89GZS","You Need To Calm Down","Taylor Swift","You Need To Calm Down","1","1","171386","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:6LKYeyLt4G4SlZ6OJwFhVS","This Feeling (feat. Kelsea Ballerini)","The Chainsmokers, Kelsea Ballerini","Sick Boy...Beach House","1","1","199226","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:2iUXsYOEPhVqEBwsqP70rE","Youngblood","5 Seconds of Summer","Youngblood (Deluxe)","1","1","203417","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:6zegtH6XXd2PDPLvy1Y0n2","Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande, Miley Cyrus, Lana Del Rey","Charlie's Angels (Original Motion Picture Soundtrack)","1","3","190066","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:6kls8cSlUyHW2BUOkDJIZE","Hate Me (with Juice WRLD)","Ellie Goulding, Juice WRLD","Hate Me (with Juice WRLD)","1","1","186223","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:2BgEsaKNfHUdlh97KmvFyo","2002","Anne-Marie","Speak Your Mind (Deluxe)","1","10","186986","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:22oEJW6r2rMb9z4IntfyEa","Hey Look Ma, I Made It","Panic! At The Disco","Pray for the Wicked","1","3","169666","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:1wjzFQodRWrPcQ0AnYnvQ9","I Like Me Better","Lauv","I Like Me Better","1","1","197436","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:10GJQkjRJcZhGTLagFOC62","Most Girls","Hailee Steinfeld","Most Girls","1","1","204400","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:4PkIDTPGedm0enzdvilLNd","Sixteen","Ellie Goulding","Sixteen","1","1","201072","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:0rIAC4PXANcKmitJfoqmVm","Motivation","Normani","Motivation","1","1","193837","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:3e9HZxeyfWwjeyPAMmWSSQ","thank u, next","Ariana Grande","thank u, next","1","11","207320","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:4yI3HpbSFSgFZtJP2kDe5m","Look At Her Now","Selena Gomez","Look At Her Now","1","1","162595","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:5Gu0PDLN4YJeW75PpBSg9p","Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld, Alesso, Florida Georgia Line, watt","Let Me Go (with Alesso, Florida Georgia Line & watt)","1","1","174800","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:25sgk305KZfyuqVBQIahim","Sweet but Psycho","Ava Max","Sweet but Psycho","1","1","187436","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:05mAIVLkIWc2d1UBYZBCp8","1999","Charli XCX, Troye Sivan","1999","1","1","189000","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:07Oz5StQ7GRoygNLaXs2pd","Good as Hell (feat. Ariana Grande) - Remix","Lizzo, Ariana Grande","Good as Hell (feat. Ariana Grande) [Remix]","1","1","159011","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:2dpaYNEQHiRxtZbfNsse99","Happier","Marshmello, Bastille","Happier","1","1","214289","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:09IStsImFySgyp0pIQdqAc","The Middle","Zedd, Maren Morris, Grey","The Middle","1","1","184732","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:0mjAU3yKR1QnXnHtjGJqTM","Rescue Me","OneRepublic","Rescue Me","1","1","158899","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:0hVXuCcriWRGvwMV1r5Yn9","I Don't Care (with Justin Bieber)","Ed Sheeran, Justin Bieber","No.6 Collaborations Project","1","6","219946","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:1rqqCSm0Qe4I9rUvWncaom","High Hopes","Panic! At The Disco","Pray for the Wicked","1","4","190946","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:1NDxZ7cFAo481dtYWdrUnR","Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann, Cheat Codes, CADE","Pretty Girl (Cheat Codes X CADE Remix)","1","1","193613","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:0uUNN1nSoUx1A4fkDCWDQ7","So Am I","Ava Max","So Am I","1","1","183026","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:4NSW0Km5ZG60L8FthUebPJ","What I Like About You (feat. Theresa Rex)","Jonas Blue, Theresa Rex","What I Like About You (feat. Theresa Rex)","1","1","220396","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:0TK2YIli7K1leLovkQiNik","Señorita","Shawn Mendes, Camila Cabello","Señorita","1","1","190960","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:6wo37KVqFJhtuxPTpLCcfe","Takeaway (feat. Lennon Stella)","The Chainsmokers, ILLENIUM, Lennon Stella","World War Joy...Takeaway","1","1","209893","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:1YHT1FZv5t3ZFLsVPuy6Rq","My My My!","Troye Sivan","Bloom","1","2","204726","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:3Y7a0typ6ik1KscmebXd6D","No New Friends","Sia, Diplo, Labrinth, LSD","No New Friends","1","1","175823","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:7hzlzoOwCZ4D3Ow5YZK4kj","Insomnia","Daya","Insomnia","1","1","179745","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:5WHTFyqSii0lmT9R21abT8","Don't Call Me Up","Mabel","Ivy To Roses (Mixtape)","1","1","178480","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:4PMLEEYw4mblYsPlDSHKyu","Get Stüpid","bülow","Crystalline","1","2","172800","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:1kHEuJRasudLhjvnbfc4yS","Blank Space","Taylor Swift","1989 (Big Machine Radio Release Special)","1","4","231826","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:2j9YmQRxtjuVwb4XN95oT8","OMG (with Carly Rae Jepsen)","Gryffin, Carly Rae Jepsen","OMG (with Carly Rae Jepsen)","1","1","215737","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:76cy1WJvNGJTj78UqeA5zr","IDGAF","Dua Lipa","Dua Lipa (Deluxe)","1","5","217946","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:6pooRNiLyYpxZeIA5kJ5EX","Good Things Fall Apart (with Jon Bellion)","ILLENIUM, Jon Bellion","Good Things Fall Apart (with Jon Bellion)","1","1","216668","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:5MvLsT03RBp67RLoeISCdl","Do You Mean (feat. Ty Dolla $ign & bülow)","The Chainsmokers, Ty Dolla $ign, bülow","World War Joy...Do You Mean","1","1","193175","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:2Fn4gZI3MAeWTiv7cSVxZQ","Another Place","Bastille, Alessia Cara","Another Place","1","1","213510","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:3Bjr9MzHM7KHk6zq7KvJRN","Love Myself","Hailee Steinfeld","HAIZ","1","1","218746","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg","Don't Start Now","Dua Lipa","Don't Start Now","1","1","183290","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:0tBbt8CrmxbjRP0pueQkyU","Wolves","Selena Gomez, Marshmello","Wolves","1","1","197993","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:2Fxmhks0bxGSBdJ92vM42m","bad guy","Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","1","2","194087","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:6EJiVf7U0p1BBfs0qqeb1f","Cut To The Feeling","Carly Rae Jepsen","Cut To The Feeling","1","1","207959","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:2bllegdYt2WoYdbRZyJ730","Capital Letters","Hailee Steinfeld, BloodPop®","Capital Letters [From "Fifty Shades Freed (Original Motion Picture Soundtrack)"]","1","1","219386","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:3R9RSIkgkZXrIgmBHGemlV","Boys","Lizzo","Boys (Remixes)","1","1","172630","spotify:user:","2019-12-02T18:13:17Z"
"spotify:track:2U2Z1IXnmJIvlknWizFykZ","High Horse","Kacey Musgraves","Golden Hour","1","11","213693","spotify:user:","2019-12-02T18:13:17Z"
