﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1CQ2cMfrmFM1YdfmjENKVE","She Looks So Perfect","5 Seconds of Summer","5 Seconds Of Summer","1","1","202496","spotify:user:","2019-11-04T21:54:59Z"
"spotify:track:3fXqDlChHYVt3LKnMluWio","Stupid For You","Waterparks","Double Dare","1","3","191544","spotify:user:","2019-11-04T21:54:59Z"
"spotify:track:7DTTn7aeCENliHGmsWkMFo","18","Anarbor","Burnout (Deluxe Version)","1","3","157360","spotify:user:","2019-11-04T21:54:59Z"
"spotify:track:2ZMHNMMft1Yp6nLPjR4zM9","Piece Of Your Heart","Mayday Parade","Sunnyland","1","3","219723","spotify:user:","2019-11-04T21:54:59Z"
"spotify:track:1yjY7rpaAQvKwpdUliHx0d","Still into You","Paramore","Paramore","1","9","216013","spotify:user:","2019-11-04T21:54:59Z"
"spotify:track:5fsQSDifYpjfbCqvZKPVBj","She's Kinda Hot","5 Seconds of Summer","Sounds Good Feels Good (Deluxe)","1","2","216454","spotify:user:","2019-11-04T21:54:59Z"
"spotify:track:1dI3L6GFPqOHd81gU782yQ","Blonde","Waterparks","Entertainment","1","2","200706","spotify:user:","2019-11-04T21:54:59Z"
"spotify:track:3yZQk5PC52CCmT4ZaTIKvv","This Is Gospel","Panic! At The Disco","Too Weird To Live, Too Rare To Die!","1","1","187186","spotify:user:","2019-11-04T21:54:59Z"
"spotify:track:4llPBbY2ytrSn5z4wX1UKO","Crazy","Makeout","The Good Life","1","2","150924","spotify:user:","2019-11-04T21:54:59Z"
"spotify:track:6XbmIuDxm4gWpVYoGg5DQX","Where I Belong (feat. We The Kings)","Simple Plan, State Champs, We The Kings","Where I Belong (feat. We The Kings)","1","1","190026","spotify:user:","2019-11-04T21:54:59Z"
"spotify:track:3PPgJlgCbwTP14BvcsQjYR","Fake Happy - Edit","Paramore","Fake Happy (Edit)","1","1","196662","spotify:user:","2019-11-04T21:54:59Z"
"spotify:track:2ZD4ORPQl85o5QPU3EsSXQ","Turbulent","Waterparks","Turbulent","1","1","161978","spotify:user:","2019-11-04T21:54:59Z"
"spotify:track:1y9AS8gXPuF8sn3K6Awbyb","Strange Love","Simple Creatures","Strange Love","1","2","151631","spotify:user:","2019-11-04T21:54:59Z"
"spotify:track:7lSqt09mk5hlzVWLzYIuWI","Moving Boxes","With Confidence","Love and Loathing","1","3","195866","spotify:user:","2019-11-04T21:54:59Z"
"spotify:track:4fwOJjucGyAIIAMgl5heL1","Wide Awake","Hot Milk","Are You Feeling Alive?","1","1","193905","spotify:user:","2019-11-04T21:54:59Z"
