﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5Hu24z7izB3LKi6pHaPq3C","Some Place Else","MorMor","Some Place Else","1","1","214885","spotify:user:","2019-05-03T21:21:54Z"
"spotify:track:4D3nttJPU6L0M2epr7sId6","yellow is the color of her eyes","Soccer Mommy","yellow is the color of her eyes","1","1","435080","spotify:user:","2019-12-06T15:15:29Z"
"spotify:track:5K7x78NAL50rhfhm73ePNb","Now I'm In It","HAIM","Now I'm In It","1","1","204280","spotify:user:","2019-11-08T21:54:59Z"
"spotify:track:5wagMdtXxmWEiKXWqriCf9","Paperbacks","Arlo Parks","Sophie","1","5","180000","spotify:user:","2019-12-06T15:15:29Z"
"spotify:track:7Lflb7ssXJ6hCcoMf5U1Wb","Chemical","Beck","Hyperspace","1","5","258660","spotify:user:","2019-12-06T15:15:29Z"
"spotify:track:3rCtueI7qBN2kZBZnXuk5K","Linked","Bonobo","Linked","1","1","369461","spotify:user:","2019-07-19T08:01:00Z"
"spotify:track:2OZXdq8Z8pyvGWDnzhHFEX","Essentially","Japanese Breakfast","Essentially","1","1","196214","spotify:user:","2019-05-03T21:21:54Z"
"spotify:track:2LpTdEPglrSzcA5eYpByny","Everything Else Has Gone Wrong","Bombay Bicycle Club","Everything Else Has Gone Wrong","1","1","249760","spotify:user:","2019-12-06T15:15:29Z"
"spotify:track:1hCOjy8lilEMrFGR0F9mgJ","Roddy","Djo","Roddy","1","1","252987","spotify:user:","2019-08-09T08:01:00Z"
"spotify:track:7yKTW0Fh9arBDdUbY9xiKi","Colours","Goth Babe","Smith Rock","1","1","182857","spotify:user:","2019-12-06T15:15:29Z"
"spotify:track:4PvbbMYL4fkToni5BLaYRb","Softly","Clairo","Immunity","1","6","185306","spotify:user:","2019-09-27T08:01:00Z"
"spotify:track:61GiMDN1kUiEQK6zHGMdnx","Metamodernity","Vansire","Metamodernity","1","1","162663","spotify:user:","2019-06-21T08:01:00Z"
"spotify:track:3jnNfBLGt0smjllDHueAi7","Pop Song","Perfume Genius","Pop Song","1","1","305186","spotify:user:","2019-12-06T15:15:29Z"
"spotify:track:2geZQEcNUBN5nvGjdZtxkz","If You Want It","Jay Som","Anak Ko","1","1","193063","spotify:user:","2019-09-27T08:01:00Z"
"spotify:track:2Cgo1Se6ohBxvXFa1VuRoT","My Dude","Litany","My Dude","1","1","227262","spotify:user:","2019-06-07T08:01:00Z"
"spotify:track:1yLuTmyO2f3zi4BPHMxTvs","Much After Feeling","Turnover","Much After Feeling / Plant Sugar","1","1","215605","spotify:user:","2019-09-20T14:38:27Z"
"spotify:track:2AVfLvQRmTbNhmtVTJEHQ3","Try Again","Andy Shauf","Try Again","1","1","228819","spotify:user:","2019-12-06T15:15:29Z"
"spotify:track:5dQcubBc2J3Pl0RVWL0wrb","Stop Thinking (About Me)","Alfie Templeman","Stop Thinking (About Me)","1","1","251061","spotify:user:","2019-04-26T08:01:00Z"
"spotify:track:0QmLOjEusrUI7EraPfPOtU","My Name is Dark - Art Mix","Grimes","My Name is Dark (Art Mix)","1","1","356077","spotify:user:","2019-12-06T15:15:29Z"
"spotify:track:6XpJw6mIuTQ7tPYTvjYyVX","Sunlight","Yuno","Sunlight","1","1","212160","spotify:user:","2019-05-31T08:01:00Z"
"spotify:track:74oqnufi2wpR5wfnui3osH","Virile","Moses Sumney","Virile","1","1","253813","spotify:user:","2019-12-06T15:15:29Z"
"spotify:track:2YEnGQwfXZokCfRbTykYbo","Was It Something I Said","MyKey","Was It Something I Said","1","1","222352","spotify:user:","2019-08-16T08:01:00Z"
"spotify:track:2TSt5uNcRSnMbxYJ5AjPvt","Valleys (My Love)","Whitney","Valleys (My Love)","1","1","236453","spotify:user:","2019-07-29T15:27:59Z"
"spotify:track:4S4Mfvv03M1cHgIOJcbUCL","In My Room","Frank Ocean","In My Room","1","1","133680","spotify:user:","2019-11-08T21:54:59Z"
"spotify:track:0DuGEqN0pRJ5QAVFvnLe6P","Space Cadet","beabadoobee","Space Cadet","1","5","264013","spotify:user:","2019-10-25T08:01:00Z"
"spotify:track:2mdEsXPu8ZmkHRRtAdC09e","Cinnamon Girl","Lana Del Rey","Norman Fucking Rockwell!","1","7","300683","spotify:user:","2019-09-06T08:01:00Z"
"spotify:track:5h68UTytwmTJDwoGbqLwzV","Never Had The Balls","Rex Orange County","Pony","1","6","236893","spotify:user:","2019-11-08T21:54:59Z"
"spotify:track:1bgO8NY7q3WRxqKOJUyU2Y","Her Vacation","Goth Babe","Her Vacation","1","1","266041","spotify:user:","2019-11-08T21:54:59Z"
"spotify:track:2apLrBlEQvFa8ob0dQcu6i","Good Luck","Broken Bells","Good Luck","1","1","206852","spotify:user:","2019-10-04T08:01:00Z"
"spotify:track:2i1CnSeLjppv41BTuc7qhY","Frail State Of Mind","The 1975","Frail State Of Mind","1","1","234811","spotify:user:","2019-11-08T21:54:59Z"
"spotify:track:0H2EwgDNxFwBY6gPnVmuV2","Questioning My Mind","Ambar Lucid","Questioning My Mind","1","1","254920","spotify:user:","2019-11-08T21:54:59Z"
"spotify:track:2Paii6qKa1C0AKWLFnruFy","Skin Game","DIIV","Skin Game","1","1","265466","spotify:user:","2019-07-29T15:27:59Z"
"spotify:track:0qQ9VcVPkWDTnff6HIhISU","Someone To Spend Time With","Los Retros","Someone To Spend Time With","1","1","173953","spotify:user:","2019-05-17T08:01:00Z"
"spotify:track:7o0Wmu96vJWVW0KqTowxD3","I've Been Dazed","Michael Kiwanuka","KIWANUKA","1","3","265120","spotify:user:","2019-11-08T21:54:59Z"
"spotify:track:2dZ0PelHrnlIEGJ6nwpcW1","Everyone Hides","Wilco","Everyone Hides","1","1","179976","spotify:user:","2019-10-04T08:01:00Z"
"spotify:track:4qCfbDTCrFnfG5fYngu2wE","Geology","Barrie","Happy to Be Here","1","8","268120","spotify:user:","2019-05-03T21:21:54Z"
"spotify:track:2HMTLM3uA0NsOU1IkNufSj","Try Hard Fool","The Growlers","Try Hard Fool","1","1","190581","spotify:user:","2019-09-20T14:38:27Z"
"spotify:track:2iyWlA4yxOs2hWN3x6fa8g","Are You Bored Yet? (feat. Clairo)","Wallows, Clairo","Scrawny / Are You Bored Yet?","1","2","178000","spotify:user:","2019-03-22T08:01:00Z"
"spotify:track:6JqYhSdTE4WbQrMXxPH5cD","Honeypie","Johnny Utah","Honeypie","1","1","135521","spotify:user:","2019-08-16T08:01:00Z"
"spotify:track:3A1kkAIXl4IPxeJRCCF4Bc","Touch","Cigarettes After Sex","Cry","1","5","292853","spotify:user:","2019-11-01T08:01:00Z"
"spotify:track:7zTTDkkLkJ2iHAqq1daDCr","OUTTA MY MIND","Monsune","OUTTA MY MIND","1","1","226005","spotify:user:","2019-09-06T08:01:00Z"
"spotify:track:716OZGLBg3vkNfMTpfbYm6","Days","No Vacation","Days","1","1","320328","spotify:user:","2019-10-04T08:01:00Z"
"spotify:track:6vYRwtuNmaQJg7SlcrMdPs","Your Light","The Big Moon","Your Light","1","1","307075","spotify:user:","2019-09-20T14:38:27Z"
"spotify:track:64R2n9O7Aif7YP3ivkOWYS","The Light","Metronomy","Metronomy Forever","1","9","272973","spotify:user:","2019-09-27T08:01:00Z"
"spotify:track:5xjDVAPLOovtYtzswnCxRS","Take You Back","Purr","Take You Back","1","1","216853","spotify:user:","2019-09-20T14:38:27Z"
"spotify:track:7sJ5TV2M7p0TQs04ZeFRCZ","Walking on a String","Matt Berninger, Phoebe Bridgers","Walking on a String","1","1","249386","spotify:user:","2019-11-01T08:01:00Z"
"spotify:track:20CZyFEt1f9MAikYqM7vjU","Giving Up","Whitney","Giving Up","1","1","190466","spotify:user:","2019-06-14T08:01:00Z"
"spotify:track:4TxuAw6GMHFPMv6NQeXm6l","Cool to You","Teenage Priest","Cool to You","1","1","197888","spotify:user:","2019-09-27T08:01:00Z"
"spotify:track:2atf946FbB7wpXr2Kwdx1t","No Bullets Spent","Spoon","No Bullets Spent","1","1","220720","spotify:user:","2019-06-28T15:55:13Z"
"spotify:track:2PLcrkHLyPmGCbkGRf3mG6","Keep It Up","Hovvdy","Heavy Lifter","1","12","206104","spotify:user:","2019-11-01T08:01:00Z"
"spotify:track:2znEmrkaWXpgAin2E4RkAE","Your Boyfriend's Gun","Palehound","Your Boyfriend's Gun","1","1","181915","spotify:user:","2019-11-01T08:01:00Z"
"spotify:track:64BjH0cofoZQLz7STwGqyw","Pluto Projector","Rex Orange County","Pluto Projector","1","1","267520","spotify:user:","2019-10-25T08:01:00Z"
"spotify:track:651sHsLdF05cX2TM51dSiS","Natural Affair (Single Edit)","The Growlers","Natural Affair (Single Edit)","1","1","219660","spotify:user:","2019-08-16T08:01:00Z"
"spotify:track:5wCVLW9qMtIY9IkBeyYnh6","When Am I Gonna Lose You","Local Natives","Violet Street","1","2","264213","spotify:user:","2019-04-26T08:01:00Z"
"spotify:track:6UFivO2zqqPFPoQYsEMuCc","Bags","Clairo","Immunity","1","5","260519","spotify:user:","2019-08-02T12:41:18Z"
"spotify:track:3hmHHA69jx1hdY3TkYRKuE","Deep In Love","Bonny Light Horseman","Deep In Love","1","1","309072","spotify:user:","2019-10-25T08:01:00Z"
"spotify:track:6fqVZogOXWFBuMEP4hfDLh","Tokyo","Julien Baker","Tokyo","1","1","223972","spotify:user:","2019-10-25T08:01:00Z"
